entity_type,n_groups,ndcg@6,mrr@6,ndcg@6_baseline,mrr@6_baseline
article.ml_what-else-mi-pisali-block-recommendation,8804,0.7508877035628277,0.6697675299106467,0.6924384033273544,0.5936032863849766
article.ml_personal-block-recommendation,3335,0.7474140508014223,0.6653773113443279,0.7137525478641531,0.6210694652673663
article.popularity-block-recommendation,1021,0.7239530444729921,0.6316519751877245,0.7056590616503297,0.606611165523996
article.what-else-mi-pisali-block-recommendation,590,0.7415412087623372,0.6572033898305085,0.7130625244526863,0.6195480225988701
